CONTAINER_ID,ALERT_TRIGGERED_TIME,SERVICED_TIME,PICK_UP_TIME_HRS,OVERFLOW
"""b9ae1d10-8559-11e9-84c0-b833c0fff004""",2019-06-23T22:15:13Z,2019-06-25T01:12:19Z,26.95,0
"""e3ff8a50-86f7-11e9-99a7-97ee0b11c45c""",2019-06-20T17:34:42Z,2019-06-21T13:50:57Z,20.27,0
"""e0294810-7a8d-11e9-9d3e-b806638f2ccf""",2019-06-23T22:00:30Z,2019-06-24T23:24:42Z,25.40,0
"""a0c24110-80b2-11e9-8548-fbf3016ad7a1""",2019-06-21T18:46:10Z,2019-06-21T20:24:11Z,1.63,0
"""5df7e800-871d-11e9-b75a-247e1805827a""",2019-06-24T02:48:17Z,2019-06-24T14:44:06Z,11.93,0
"""577b06a0-93a8-11e9-95d1-eef57bb98ee3""",2019-06-24T13:02:19Z,2019-06-24T17:53:13Z,4.85,0
"""9f7e3b80-938e-11e9-8289-35ef4b5da50a""",2019-06-24T03:27:01Z,2019-06-24T15:21:31Z,11.91,0
"""b7336c60-80b4-11e9-b01f-213e31037084""",2019-06-18T19:27:14Z,2019-06-19T00:27:47Z,5.01,0
"""9e16ac70-80db-11e9-905d-c93a6aecb9a8""",2019-06-18T08:28:26Z,2019-06-18T12:48:44Z,4.34,0
"""2f589850-914f-11e9-8051-b830a48a53f9""",2019-06-19T01:54:29Z,2019-06-20T00:19:35Z,22.42,1
"""78bef5b0-80d9-11e9-a808-cd7046fa1dc7""",2019-06-22T20:52:33Z,2019-06-23T12:18:40Z,15.44,1
"""e6d39330-6d1f-11e9-8bd9-cbab5047bf73""",2019-06-26T19:32:02Z,2019-06-26T23:24:23Z,3.87,1
"""87d90760-7fe0-11e9-a76c-d63221a7cc69""",2019-06-19T00:20:00Z,2019-06-20T16:44:59Z,40.42,1
"""87d90760-7fe0-11e9-a76c-d63221a7cc69""",2019-06-23T01:51:05Z,2019-06-24T16:36:11Z,38.75,1
"""069bf090-8558-11e9-b4ed-3ed6868acd76""",2019-06-20T23:42:18Z,2019-06-21T12:12:02Z,12.50,1
"""a7552800-8c7c-11e9-8a6f-e64a29523235""",2019-06-19T06:01:50Z,2019-06-20T01:15:03Z,19.22,1
"""a7552800-8c7c-11e9-8a6f-e64a29523235""",2019-06-24T04:52:22Z,2019-06-24T11:21:10Z,6.48,1
"""1d0a3320-9136-11e9-8b92-cc0904674af4""",2019-06-18T00:10:51Z,2019-06-18T13:05:01Z,12.90,1
"""916f7c40-908a-11e9-a484-7a106fe60491""",2019-06-23T00:45:22Z,2019-06-23T18:57:54Z,18.21,1
"""4fa750f0-9213-11e9-ba6e-e0f5850091b7""",2019-06-19T21:24:41Z,2019-06-20T17:30:31Z,20.10,0
"""c8bd63e0-7a9d-11e9-a260-318c7926092c""",2019-06-20T16:03:29Z,2019-06-21T00:55:48Z,8.87,0
"""cc494a70-80d7-11e9-be3b-cd95ceed5709""",2019-06-25T05:33:06Z,2019-06-25T19:25:19Z,13.87,0
"""0a359cb0-8495-11e9-b08b-5bbf0adeb393""",2019-06-20T05:03:47Z,2019-06-21T06:41:47Z,25.63,0
"""e959a320-2e4f-11e8-8677-3eece5c9b1ee""",2019-06-25T21:45:19Z,2019-06-26T12:10:19Z,14.42,0
"""15bc7060-855b-11e9-b5d5-9709139fc37d""",2019-06-23T03:34:22Z,2019-06-23T11:42:38Z,8.14,0
"""05358ce0-7c0f-11e9-9fde-a1c96106b891""",2019-06-21T18:10:45Z,2019-06-22T00:46:44Z,6.60,0
"""dc3c2be0-80ce-11e9-8b0e-ffd0c6e770f1""",2019-06-23T04:22:48Z,2019-06-23T13:29:56Z,9.12,0
"""9edff360-7a9a-11e9-9a62-23d59b087472""",2019-06-24T20:27:39Z,2019-06-24T22:12:49Z,1.75,0
"""cf3ee9f0-80ba-11e9-96b4-1302a8955df9""",2019-06-21T02:33:03Z,2019-06-21T05:22:29Z,2.82,0
"""952bc910-938c-11e9-ab88-88603f9a125d""",2019-06-22T15:19:04Z,2019-06-24T15:11:29Z,47.87,1
"""bfdd4840-8c85-11e9-9935-23b6bc52cd55""",2019-06-22T01:57:06Z,2019-06-22T14:11:57Z,12.25,1
"""c3fb9d30-9132-11e9-b97e-a83504eefda6""",2019-06-18T09:48:47Z,2019-06-18T16:29:24Z,6.68,1
"""a0c24110-80b2-11e9-8548-fbf3016ad7a1""",2019-06-25T10:20:26Z,2019-06-25T19:12:54Z,8.87,1
"""4e4b16d0-8000-11e9-a122-ff3876c261d8""",2019-06-18T00:02:44Z,2019-06-20T00:29:54Z,48.45,1
"""48c89d90-80af-11e9-9622-bb9de056251c""",2019-06-24T03:37:35Z,2019-06-24T15:43:46Z,12.10,1
"""9f103660-80d5-11e9-bbed-ef5e34225108""",2019-06-21T21:42:56Z,2019-06-21T23:32:12Z,1.82,1
"""dd7f13f0-8c86-11e9-b0a9-d32213c5bb31""",2019-06-24T00:20:48Z,2019-06-25T13:21:04Z,37.00,1
"""e2a9e950-9153-11e9-b83e-d30f60a1e30a""",2019-06-25T08:15:10Z,2019-06-25T12:51:38Z,4.61,1
"""20abcb70-8c76-11e9-9e28-c24477957fff""",2019-06-18T04:40:23Z,2019-06-18T14:37:15Z,9.95,1
"""1e84ce80-80ca-11e9-8999-6d2c0853a0be""",2019-06-20T16:35:38Z,2019-06-23T01:54:33Z,57.32,1
"""3d051d30-908b-11e9-a928-2c09978a78ec""",2019-06-24T04:20:36Z,2019-06-24T11:09:23Z,6.81,0
"""1d92aaf0-8c7e-11e9-b8f5-0392534019ea""",2019-06-20T17:50:17Z,2019-06-20T21:48:01Z,3.96,0
"""421f39c0-d576-11e8-af0a-2fec286ff8f1""",2019-06-18T08:06:13Z,2019-06-18T09:37:52Z,1.53,0
"""ae69b3b0-7668-11e9-8e1d-697535c88e6b""",2019-06-23T19:30:02Z,2019-06-23T21:27:15Z,1.95,0
"""a16de500-8581-11e9-9bdf-a3f1c8ebff21""",2019-06-18T05:23:44Z,2019-06-18T20:49:14Z,15.43,0
"""3f698c00-80d2-11e9-b4f2-9121c84f6aa4""",2019-06-18T03:43:42Z,2019-06-18T12:13:43Z,8.50,0
"""1c334e80-920f-11e9-a5be-08b2d3be3e17""",2019-06-26T06:09:15Z,2019-06-26T08:26:05Z,2.28,0
"""9c596950-8c92-11e9-9cd7-259aa25e8c41""",2019-06-22T07:13:45Z,2019-06-23T01:26:00Z,18.20,0
"""69a193e0-80ba-11e9-ba80-5e31e509eb41""",2019-06-22T02:51:17Z,2019-06-22T11:37:10Z,8.76,0
"""502e8c00-7a9e-11e9-bb08-9ee77994778a""",2019-06-24T19:38:03Z,2019-06-25T20:55:45Z,25.30,0
"""59d4db40-80c7-11e9-8232-4a92dd8e407c""",2019-06-19T06:34:24Z,2019-06-19T13:07:50Z,6.56,0
"""a5eec960-84a9-11e9-aa29-11f020e7a518""",2019-06-19T19:11:25Z,2019-06-20T11:41:03Z,16.49,0
"""2e168e20-8006-11e9-9290-d849824baa45""",2019-06-18T05:01:35Z,2019-06-18T15:53:21Z,10.86,0
